City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,34.52,97,100,28.03,GL,1666472245
Harnai,30.1005,67.9374,68.22,23,0,4.05,PK,1666472245
Pec,42.6591,20.2883,59.13,51,15,6.24,XK,1666472245
Bluff,-46.6,168.3333,56.8,69,26,10.47,NZ,1666472246
Dunedin,-45.8742,170.5036,55.8,74,6,1.01,NZ,1666471980
Hong Kong,22.2855,114.1577,79.32,83,68,3.0,HK,1666471952
Gīdam,18.9833,81.4,59.81,88,2,3.24,IN,1666472247
Mahébourg,-20.4081,57.7,73.69,78,40,10.36,MU,1666472247
Hermanus,-34.4187,19.2345,65.8,89,4,12.84,ZA,1666472066
Indian Head,38.6001,-77.1622,72.81,39,57,3.0,US,1666472248
Ostrovnoy,68.0531,39.5131,36.61,96,100,25.14,RU,1666472248
East London,-33.0153,27.9116,65.61,78,93,13.78,ZA,1666472249
Mataura,-46.1927,168.8643,56.48,46,37,5.32,NZ,1666472249
Thompson,55.7435,-97.8558,39.36,60,75,4.61,CA,1666472249
Jamestown,42.097,-79.2353,69.44,32,0,10.36,US,1666472031
Harpālpur,25.2884,79.3347,72.18,57,0,1.95,IN,1666472250
New Norfolk,-42.7826,147.0587,50.92,83,100,3.0,AU,1666472250
Baruun-Urt,46.6806,113.2792,28.81,56,0,6.78,MN,1666472251
Nouadhibou,20.931,-17.0347,67.98,94,40,21.85,MR,1666472251
Hobart,-42.8794,147.3294,51.26,85,75,14.97,AU,1666472252
Port Blair,11.6667,92.75,80.64,89,75,5.75,IN,1666472252
Puerto Ayora,-0.7393,-90.3518,75.16,93,68,8.01,EC,1666472253
Butaritari,3.0707,172.7902,81.14,67,100,10.13,KI,1666472253
Albany,42.6001,-73.9662,65.86,40,0,1.01,US,1666472029
Saskylakh,71.9167,114.0833,8.29,97,46,7.74,RU,1666472254
Tuktoyaktuk,69.4541,-133.0374,17.6,93,20,8.05,CA,1666472238
Dwārka,22.2394,68.9678,81.93,50,0,10.16,IN,1666472254
Vaini,-21.2,-175.2,71.76,88,100,17.27,TO,1666472255
Marsá Maţrūḩ,31.3525,27.2453,71.8,60,20,8.05,EG,1666472255
Sirte,31.2089,16.5887,71.13,56,0,8.97,LY,1666472255
Lewisville,33.0462,-96.9942,88.25,44,40,23.02,US,1666472256
Kapaa,22.0752,-159.319,83.48,76,32,7.0,US,1666472256
Leninsk,48.7119,45.1994,40.1,65,98,5.68,RU,1666472009
Bindki,26.0333,80.6,70.41,66,0,3.6,IN,1666472257
Port Alfred,-33.5906,26.891,64.18,81,24,3.0,ZA,1666472054
Jaguarão,-32.5661,-53.3758,66.27,76,58,1.12,BR,1666472257
Cidreira,-30.1811,-50.2056,65.57,78,29,7.45,BR,1666472258
Hårlev,55.3494,12.2338,55.26,95,63,8.23,DK,1666472259
Tautira,-17.7333,-149.15,77.47,78,35,11.5,PF,1666472259
